provinsi,kabupaten_kota,komoditas,unit,tanggal_awal,harga_tanggal_awal
Jawa Tengah,Kab. Cilacap,Beras Medium,kg,01/02/2026,0
Jawa Tengah,Kab. Cilacap,Beras Premium,kg,01/02/2026,0
Jawa Tengah,Kab. Cilacap,Gula Pasir Curah,kg,01/02/2026,0
Jawa Tengah,Kab. Cilacap,Minyak Goreng Sawit Kemasan Premium,lt,01/02/2026,0
Jawa Tengah,Kab. Cilacap,Minyak Goreng Sawit Curah,lt,01/02/2026,0
Jawa Tengah,Kab. Cilacap,Minyakita,lt,01/02/2026,0
Jawa Tengah,Kab. Cilacap,Daging Sapi Paha Belakang,kg,01/02/2026,0
Jawa Tengah,Kab. Cilacap,Daging Ayam Ras,kg,01/02/2026,0
Jawa Tengah,Kab. Cilacap,Telur Ayam Ras,kg,01/02/2026,0
Jawa Tengah,Kab. Cilacap,Tepung Terigu,kg,01/02/2026,0
Jawa Tengah,Kab. Cilacap,Kedelai Impor,kg,01/02/2026,0
Jawa Tengah,Kab. Cilacap,Cabai Merah Keriting,kg,01/02/2026,0
Jawa Tengah,Kab. Cilacap,Cabai Rawit Merah,kg,01/02/2026,0
Jawa Tengah,Kab. Cilacap,Cabai Merah Besar,kg,01/02/2026,0
Jawa Tengah,Kab. Cilacap,Bawang Merah,kg,01/02/2026,0
Jawa Tengah,Kab. Cilacap,Bawang Putih Honan,kg,01/02/2026,0
Jawa Tengah,Kab. Banyumas,Beras Medium,kg,01/02/2026,0
Jawa Tengah,Kab. Banyumas,Beras Premium,kg,01/02/2026,0
Jawa Tengah,Kab. Banyumas,Gula Pasir Curah,kg,01/02/2026,0
Jawa Tengah,Kab. Banyumas,Minyak Goreng Sawit Kemasan Premium,lt,01/02/2026,0
Jawa Tengah,Kab. Banyumas,Minyak Goreng Sawit Curah,lt,01/02/2026,0
Jawa Tengah,Kab. Banyumas,Minyakita,lt,01/02/2026,0
Jawa Tengah,Kab. Banyumas,Daging Sapi Paha Belakang,kg,01/02/2026,0
Jawa Tengah,Kab. Banyumas,Daging Ayam Ras,kg,01/02/2026,0
Jawa Tengah,Kab. Banyumas,Telur Ayam Ras,kg,01/02/2026,0
Jawa Tengah,Kab. Banyumas,Tepung Terigu,kg,01/02/2026,0
Jawa Tengah,Kab. Banyumas,Kedelai Impor,kg,01/02/2026,0
